time-ex3t1-simu;exx-ex3t1-simu;sxx-ex3t1-simu
818;0.00603573;120.715
819;0.00604311;120.862
820;0.00605049;121.01
821;0.00605786;121.157
822;0.00606524;121.305
823;0.00607262;121.452
824;0.00608;121.6
825;0.00608738;121.748
826;0.00609476;121.895
827;0.00610214;122.043
828;0.00610951;122.19
829;0.00611689;122.338
830;0.00612427;122.485
831;0.00613165;122.633
832;0.00613903;122.781
833;0.00614641;122.928
834;0.00615379;123.076
835;0.00616117;123.223
836;0.00616854;123.371
837;0.00617592;123.518
838;0.0061833;123.666
839;0.00619068;123.814
840;0.00619806;123.961
841;0.00620544;124.109
842;0.00621282;124.256
843;0.00622019;124.404
844;0.00622757;124.551
845;0.00623495;124.699
846;0.00624233;124.847
847;0.00624971;124.994
848;0.00625709;125.142
849;0.00626447;125.289
850;0.00627184;125.437
851;0.00627922;125.584
852;0.0062866;125.732
853;0.00629398;125.88
854;0.00630136;126.027
855;0.00630874;126.175
856;0.00631612;126.322
857;0.0063235;126.47
858;0.00633087;126.617
859;0.00633825;126.765
860;0.00634563;126.913
861;0.00635301;127.06
862;0.00636039;127.208
863;0.00636777;127.355
864;0.00637515;127.503
865;0.00638252;127.65
866;0.0063899;127.798
867;0.00639728;127.946
868;0.00640466;128.093
869;0.00641204;128.241
870;0.00641942;128.388
871;0.0064268;128.536
872;0.00643417;128.683
873;0.00644155;128.831
874;0.00644893;128.979
875;0.00645631;129.126
876;0.00646369;129.274
877;0.00647107;129.421
878;0.00647845;129.569
879;0.00648583;129.717
880;0.0064932;129.864
881;0.00650058;130.012
882;0.00650796;130.159
883;0.00651534;130.307
884;0.00652272;130.454
885;0.0065301;130.602
886;0.00653748;130.75
887;0.00654485;130.897
888;0.00655223;131.045
889;0.00655961;131.192
890;0.00656699;131.34
891;0.00657437;131.487
892;0.00658175;131.635
893;0.00658913;131.783
894;0.0065965;131.93
895;0.00660388;132.078
896;0.00661126;132.225
897;0.00661864;132.373
898;0.00662602;132.52
899;0.0066334;132.668
900;0.00664078;132.816
901;0.00664816;132.963
902;0.00665553;133.111
903;0.00666291;133.258
904;0.00667029;133.406
905;0.00667767;133.553
906;0.00668505;133.701
907;0.00669243;133.849
908;0.00669981;133.996
909;0.00670718;134.144
910;0.00671456;134.291
911;0.00672194;134.439
912;0.00672932;134.586
913;0.0067367;134.734
914;0.00674408;134.882
915;0.00675146;135.029
916;0.00675883;135.177
917;0.00676621;135.324
918;0.00677359;135.472
919;0.00678097;135.619
920;0.00678835;135.767
921;0.00679573;135.915
922;0.00680311;136.062
923;0.00681049;136.21
924;0.00681786;136.357
925;0.00682524;136.505
926;0.00683262;136.652
927;0.00684;136.8
928;0.00684738;136.948
929;0.00685476;137.095
930;0.00686214;137.243
931;0.00686951;137.39
932;0.00687689;137.538
933;0.00688427;137.685
934;0.00689165;137.833
935;0.00689903;137.981
936;0.00690641;138.128
937;0.00691379;138.276
938;0.00692117;138.423
939;0.00692854;138.571
940;0.00693592;138.718
941;0.0069433;138.866
942;0.00695068;139.014
943;0.00695806;139.161
944;0.00696544;139.309
945;0.00697282;139.456
946;0.00698019;139.604
947;0.00698757;139.751
948;0.00699495;139.899
949;0.00700233;140.047
950;0.00700971;140.194
951;0.00701709;140.342
952;0.00702447;140.489
953;0.00703184;140.637
954;0.00703922;140.784
955;0.0070466;140.932
956;0.00705398;141.08
957;0.00706136;141.227
958;0.00706874;141.375
959;0.00707612;141.522
960;0.0070835;141.67
961;0.00709087;141.817
962;0.00709825;141.965
963;0.00710563;142.113
964;0.00711301;142.26
965;0.00712039;142.408
966;0.00712777;142.555
967;0.00713515;142.703
968;0.00714252;142.85
969;0.0071499;142.998
970;0.00715728;143.146
971;0.00716466;143.293
972;0.00717204;143.441
973;0.00717942;143.588
974;0.0071868;143.736
975;0.00719417;143.883
976;0.00720155;144.031
977;0.00720893;144.179
978;0.00721631;144.326
979;0.00722369;144.474
980;0.00723107;144.621
981;0.00723845;144.769
982;0.00724583;144.917
983;0.0072532;145.064
984;0.00726058;145.212
985;0.00726796;145.359
986;0.00727534;145.507
987;0.00728272;145.654
988;0.0072901;145.802
989;0.00729748;145.95
990;0.00730485;146.097
991;0.00731223;146.245
992;0.00731961;146.392
993;0.00732699;146.54
994;0.00733437;146.687
995;0.00734175;146.835
996;0.00734913;146.983
997;0.0073565;147.13
998;0.00736388;147.278
999;0.00737126;147.425
1000;0.00737864;147.573
1001;0.00738602;147.72
1002;0.0073934;147.868
1003;0.00740078;148.016
1004;0.00740816;148.163
1005;0.00741553;148.311
1006;0.00742291;148.458
1007;0.00743029;148.606
1008;0.00743767;148.753
1009;0.00744505;148.901
1010;0.00745243;149.049
1011;0.00745981;149.196
1012;0.00746718;149.344
1013;0.00747456;149.491
1014;0.00748194;149.639
1015;0.00748932;149.786
1016;0.0074967;149.934
1017;0.00750408;150.082
1018;0.00751146;150.229
1019;0.00751883;150.377
1020;0.00752621;150.524
1021;0.00753359;150.672
1022;0.00754097;150.819
1023;0.00754835;150.967
1024;0.00755573;151.115
1025;0.00756311;151.262
1026;0.00757049;151.41
1027;0.00757786;151.557
1028;0.00758524;151.705
1029;0.00759262;151.852
1030;0.0076;152.0
